x,y,he
-0.232060428,0.220527016,68.66222273
-1.147940057,-0.430795111,36.87998449
0.303133589,0.225707839,144.3233558
-0.276331472,0.268218435,60.51593449
-1.197340491,-0.485623862,35.32740773
0.224390978,0.328272105,105.6993112
0.251358835,-0.081606037,70.69192716
-0.253831412,0.264551922,63.66638495
0.189266278,0.314619794,89.44746365
-1.194239978,-0.491233332,35.25170683
0.445071261,0.192724164,28.88741317
0.228266239,-0.086611563,63.41042271
0.132882239,0.298394335,73.96750409
-1.198894959,-0.506542259,35.29987873
-0.111968531,0.127366353,62.78858254
-0.43636753,0.396304295,28.89813682
0.226463972,-0.145236605,49.92214212
0.291982859,0.216449822,56.11173824
0.176829134,0.295909428,82.24246875
0.279267729,-0.08338993,36.8595593
0.222853265,-0.070191183,49.37129195
-1.212935316,-0.495973406,34.83545936
0.011005527,0.454922398,30.92289326
-0.083591159,0.030934051,48.13105888
-0.306594612,0.315284707,37.0750609
0.190028871,0.350606872,66.64557576
0.033313192,0.070448245,49.00326797
-0.33327364,0.1254603,36.07078983
-0.38620246,0.407682742,30.2048023
0.457855672,0.223174219,33.18139017
-1.215141468,-0.543888249,34.64897858
0.169692655,-0.002457459,39.78243688
0.294425592,-0.008957442,33.85250053
0.05730931,0.138096378,47.38063443
-0.479880382,0.363582346,27.74395422
0.472372569,0.48889339,35.94057128
0.361181869,-0.199397466,33.30481334
0.03931865,-0.018090446,40.1151974
-0.039674917,0.181864855,34.85723809
-0.166570808,-0.024612947,35.06459821
0.17042045,0.294033015,60.79634942
-1.244646798,-0.523099382,34.63507625
-1.239603011,-0.575043128,34.44120775
-0.1020803,0.626636158,31.40045234
0.181510587,-0.042424657,22.22122423
-0.398345156,0.353087612,23.34382152
0.087701518,0.119484211,46.43221193
0.211111205,0.339565054,49.52781065
0.006256538,0.077312518,43.17944261
0.315359323,-0.228925129,50.23515662
0.724873749,0.437256131,36.23608981
-0.007690948,-0.020650569,24.51622229
0.250851606,-0.131174049,22.7535613
-1.247061815,-0.588799768,32.21648342
-0.428657096,0.4354892,23.04622736
0.31917148,0.292187496,27.75222514
-0.113069752,-0.089182975,26.06634661
0.439026436,0.390933223,37.43620233
0.041921296,0.238694492,39.20008645
0.122327638,0.123804073,44.07979756
0.399707351,-0.030799517,37.16899608
-0.72405482,-0.033679966,21.05246132
0.316659688,0.430988297,40.64996799
0.271944216,0.233697679,44.55984857
0.128464562,0.279410446,33.01236273
-0.75468821,-0.145857694,16.73748242
-1.229236092,-0.577195257,31.51476466
-0.440788688,0.155642281,27.63210945
0.324263337,0.270307142,31.79493822
-0.28817817,0.481557041,25.5924146
0.420429465,0.380634805,25.91459039
0.170151356,-0.09403034,31.83536124
0.268416725,-0.186158696,26.07902626
0.336991227,-0.012208145,26.30679439
0.363603754,0.230101518,32.45820811
0.210716485,0.06681512,35.81741353
-0.439255241,0.262444073,23.56066201
0.147748115,0.206169892,44.91435379
-1.249498969,-0.549985015,30.44819886
0.345563138,-0.103428966,35.91576996
0.241312122,-0.54421837,14.39731193
0.331121351,0.428570526,31.93011487
0.101097341,-0.115631135,21.86546869
0.057567528,0.583224886,23.65176806
-0.948717934,-0.202205222,15.79774133
0.033853874,0.102347207,31.56423848
0.466119697,0.273829757,33.61812369
-0.225928632,0.282859448,24.43817706
0.336038477,0.658853696,29.65811763
0.165426702,0.239786043,54.3410767
0.374148228,0.084946356,26.46164421
0.037645485,0.304066437,15.585075
0.316497059,0.19364972,35.4658771
0.245001061,-0.07362857,21.25298439
-0.030924045,-0.057000888,12.8843344
0.390801387,0.090291833,24.55934149
-1.214161565,-0.580983682,32.10488521
0.23206255,-0.354560759,22.21589501
0.363166897,0.296421651,43.27901012
-0.816353396,-0.138116419,14.87443014
-0.510005954,0.249138984,23.71409021
-0.405241073,0.40005199,19.21537303
0.402423338,-0.023371948,32.38062802
-0.261823724,0.215377177,18.41863524
0.568647923,-0.308137523,21.19085913
-1.201135224,-0.55491531,29.12560623
0.125126582,0.461163227,27.41026347
0.037286681,0.17740573,25.73020391
0.176261745,0.006600597,31.25144497
0.197383743,0.420415169,24.41455833
0.06989452,-0.175750185,19.76292224
0.262602434,0.310407724,35.86720503
-0.266508031,0.480014895,17.76101738
0.44831891,0.428788377,37.73466783
-1.063653189,-0.271404583,15.84881527
-0.073695463,0.106287708,28.36250751
0.353199336,-0.344792244,18.26236678
-0.239994804,0.444802185,23.65176806
-1.168329587,-0.446323725,15.79774133
0.74206381,-0.494642053,31.56423848
-0.234142725,0.344586961,33.61812369
-1.217909522,-0.497764608,24.43817706
0.757153966,-0.619046516,29.65811763
0.253831954,0.758978108,54.3410767
-0.186227076,0.352889527,26.46164421
0.795506736,-0.765417956,15.585075
-1.226466541,-0.509625075,35.4658771
0.111679003,0.557358713,21.25298439
0.311809664,0.56066798,12.8843344
0.772294356,-0.897711541,24.55934149
-1.218463655,-0.506986771,32.10488521
-0.156859054,0.392611913,22.21589501
-0.126891581,0.413353744,43.27901012
0.255238078,-0.146961777,14.87443014
0.425501198,0.643727325,23.71409021
0.853693851,-0.974804268,19.21537303
0.429467694,0.261040218,32.38062802
0.135979829,0.021218465,18.41863524
-1.236855026,-0.511628573,21.19085913
0.437245028,0.538758877,29.12560623
-0.11123521,0.351232518,27.41026347
-0.18482454,0.360627089,25.73020391
0.893643782,-1.031541518,31.25144497
0.017137796,0.31875439,24.41455833
-0.382407379,0.32664948,19.76292224
-0.077379109,0.442844652,35.86720503
0.550346691,0.259277019,17.76101738
-1.214649242,-0.519640438,37.73466783
0.506177964,0.314377739,15.84881527
0.803814453,-0.300724365,28.36250751
0.108746001,0.260076237,18.26236678
-0.221323659,0.43364941,23.65176806
0.861106744,-1.048037339,15.79774133
1.054170244,-0.823404544,31.56423848
-0.039091528,0.205633667,33.61812369
0.290652334,-0.003143192,24.43817706
-0.212159866,0.399129305,29.65811763
0.900260102,-0.984602412,54.3410767
-1.245764789,-0.485585277,26.46164421
-1.224518551,-0.51004545,15.585075
0.357499365,-0.588177101,35.4658771
0.192252918,-0.091699334,21.25298439
-0.293231987,0.433040696,12.8843344
0.381180356,0.153162219,24.55934149
0.768080012,-0.842843836,32.10488521
-0.150867123,0.399730129,22.21589501
0.415806557,0.339772141,43.27901012
1.085547326,-1.122858308,14.87443014
-0.096247198,0.217986811,23.71409021
0.466974006,-0.997254475,19.21537303
-1.239498601,-0.581749492,32.38062802
-0.154847327,0.3524737,18.41863524
0.224202155,0.328661281,21.19085913
-0.1954066,0.352999414,29.12560623
0.899741408,-1.003917607,27.41026347
0.088580892,0.283138374,25.73020391
0.165949334,0.323098162,31.25144497
0.403625432,-0.023991025,24.41455833
-0.679855558,0.10740823,19.76292224
0.890581345,-1.091770794,35.86720503
0.408148792,0.364683251,17.76101738
0.102267895,0.081915155,37.73466783
-0.804950496,0.226845129,15.84881527
-1.215777499,-0.552077851,28.36250751
0.12257811,-0.524816091,18.26236678
0.964045062,-1.178453461,23.65176806
-0.074322669,0.555806095,15.79774133
0.520992796,0.34859523,31.56423848
-0.091552519,0.510559355,33.61812369
0.781490435,-0.554207635,24.43817706
0.459499426,-0.260214727,29.65811763
0.314150114,-0.119896462,54.3410767
0.237499425,0.313956819,26.46164421
-0.258314575,0.480047347,15.585075
0.88392922,-0.936836199,35.4658771
-1.256747889,-0.600714559,21.25298439
0.339519429,0.291987231,12.8843344
0.123983816,-0.157151295,24.55934149
0.298707045,0.2774384,32.10488521
0.356747363,-0.201537933,22.21589501
0.324379781,0.362085126,43.27901012
-0.978353109,-0.019488823,14.87443014
-0.146427488,0.242654757,23.71409021
0.961047728,-1.174552433,19.21537303
-0.21660153,0.332266673,32.38062802
1.154331031,-0.254613988,18.41863524
0.147759313,0.320498004,21.19085913
0.697171845,0.291770272,29.12560623
0.008882238,0.2886096,27.41026347
0.781732733,-1.023117539,25.73020391
0.032069227,0.216205198,31.25144497
-0.216061556,0.403395348,24.41455833
0.252675288,0.527200441,19.76292224
-1.217748975,-0.59712704,35.86720503
0.125655119,-0.173583177,17.76101738
0.927168577,-1.135146613,37.73466783
-0.842590964,0.052591687,15.84881527
-0.347952065,0.306892301,28.36250751
-0.085639274,0.321815431,18.26236678
0.870467063,-1.031048342,23.65176806
-0.333027962,0.404086839,15.79774133
0.795452365,-0.639026867,31.56423848
-1.19994408,-0.609164848,33.61812369
0.817785358,-1.001942044,24.43817706
0.097003547,0.115489765,29.65811763
0.512837653,0.179920783,54.3410767
0.273259758,0.308757812,26.46164421
-0.249914881,0.383656281,15.585075
0.444903991,0.468588723,35.4658771
0.140730206,0.050871823,21.25298439
0.384385815,0.718730795,12.8843344
-1.073083356,-0.119657118,24.55934149
-0.070070834,0.471570568,32.10488521
0.375106022,0.344286259,22.21589501
